2024-04-13 07:33:52.773 INFO  (qtp1997548433-21-localhost-32) [c: s: r: x: t:localhost-32] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2024-04-13 07:33:52.788 INFO  (qtp1997548433-21-localhost-32) [c: s: r: x: t:localhost-32] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /Users/copseatingdonuts/Documents/GitHub/Lyricalysis/solr-9.5.0/server/solr/lyrics-prod/conf
2024-04-13 07:33:52.790 INFO  (qtp1997548433-21-localhost-32) [c: s: r: x: t:localhost-32] o.a.s.s.DirectSolrSpellChecker init: {maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, accuracy=0.5, maxQueryFrequency=0.01, name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal}
2024-04-13 07:33:52.792 INFO  (qtp1997548433-21-localhost-32) [c: s: r: x: t:localhost-32] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2024-04-13 07:33:52.793 INFO  (searcherExecutor-25-thread-1-processing-localhost-32) [c: s: r: x: t:localhost-32] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-04-13 07:33:52.793 INFO  (searcherExecutor-25-thread-1-processing-localhost-32) [c: s: r: x: t:localhost-32] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2024-04-13 07:33:52.813 INFO  (searcherExecutor-25-thread-1-processing-localhost-32) [c: s: r: x: t:localhost-32] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2024-04-13 07:33:52.861 INFO  (qtp1997548433-21-localhost-32) [c: s: r: x: t:localhost-32] o.a.s.u.DefaultSolrCoreState New IndexWriter is ready to be used.
2024-04-13 07:33:52.897 INFO  (qtp1997548433-21-localhost-32) [c: s: r: x: t:localhost-32] o.a.s.c.SolrCore CLOSING SolrCore org.apache.solr.core.SolrCore@4e4014e5 lyrics-prod
2024-04-13 07:33:52.897 INFO  (qtp1997548433-21-localhost-32) [c: s: r: x: t:localhost-32] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.core.lyrics-prod tag=SolrCore@4e4014e5
2024-04-13 07:33:52.918 INFO  (searcherExecutor-25-thread-1-processing-localhost-32) [c: s: r: x: t:localhost-32] o.a.s.c.QuerySenderListener QuerySenderListener done.
2024-04-13 07:33:53.021 INFO  (searcherExecutor-25-thread-1-processing-localhost-32) [c: s: r: x: t:localhost-32] o.a.s.c.SolrCore Registered new searcher autowarm time: 19 ms
2024-04-13 07:33:53.122 INFO  (qtp1997548433-21-localhost-32) [c: s: r: x: t:localhost-32] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={core=lyrics-prod&action=RELOAD&wt=json&_=1712937791291} status=0 QTime=942
2024-04-13 07:33:54.583 INFO  (qtp1997548433-22-localhost-34) [c: s: r: x: t:localhost-34] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712937791291} status=0 QTime=0
2024-04-13 07:33:54.593 INFO  (qtp1997548433-24-localhost-33) [c: s: r: x: t:localhost-33] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={wt=json&_=1712937791291} status=0 QTime=11
2024-04-13 07:33:54.594 INFO  (qtp1997548433-17-localhost-35) [c: s: r: x: t:localhost-35] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712937791291} status=0 QTime=11
2024-04-13 07:33:56.605 INFO  (qtp1997548433-26-localhost-36) [c: s: r: x: t:localhost-36] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712937791291} status=0 QTime=1
2024-04-13 07:33:56.635 INFO  (qtp1997548433-17-localhost-37) [c: s: r: x: t:localhost-37] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712937791291} status=0 QTime=30
2024-04-13 07:33:56.648 INFO  (qtp1997548433-17-localhost-38) [c: s: r: x: t:localhost-38] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712937791291} status=0 QTime=4
2024-04-13 07:34:00.743 INFO  (qtp1997548433-24-localhost-39) [c: s: r: x:lyrics-prod t:localhost-39] o.a.s.c.S.Request webapp=/solr path=/replication params={wt=json&command=details&_=1712937791342} status=0 QTime=7
2024-04-13 07:34:00.743 INFO  (qtp1997548433-22-localhost-42) [c: s: r: x: t:localhost-42] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712937791291} status=0 QTime=0
2024-04-13 07:34:00.768 INFO  (qtp1997548433-21-localhost-40) [c: s: r: x:lyrics-prod t:localhost-40] o.a.s.c.S.Request webapp=/solr path=/admin/luke params={numTerms=0&show=index&wt=json&_=1712937791342} status=0 QTime=32
2024-04-13 07:34:00.771 INFO  (qtp1997548433-17-localhost-41) [c: s: r: x: t:localhost-41] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712937791291} status=0 QTime=8
2024-04-13 07:34:00.776 INFO  (qtp1997548433-21-localhost-44) [c: s: r: x:lyrics-prod t:localhost-44] o.a.s.c.S.Request webapp=/solr path=/admin/ping params={action=status&wt=json&_=1712937791291&ts=1712937791291} status=503 QTime=0
2024-04-13 07:34:00.794 INFO  (qtp1997548433-48-localhost-43) [c: s: r: x:lyrics-prod t:localhost-43] o.a.s.c.S.Request webapp=/solr path=/admin/system params={wt=json&_=1712937791342} status=0 QTime=19
2024-04-13 07:34:09.333 INFO  (ShutdownMonitor) [c: s: r: x: t:] o.e.j.s.Server Stopped Server@6ca0256d{STOPPING}[10.0.19,sto=0]
2024-04-13 07:34:09.356 INFO  (ShutdownMonitor) [c: s: r: x: t:] o.e.j.s.AbstractConnector Stopped ServerConnector@3dddefd8{HTTP/1.1, (http/1.1, h2c)}{127.0.0.1:8983}
2024-04-13 07:34:09.363 INFO  (ShutdownMonitor) [c: s: r: x: t:] o.a.s.c.CoreContainer Shutting down CoreContainer instance=1537371824
2024-04-13 07:34:09.365 INFO  (coreCloseExecutor-30-thread-1) [c: s: r: x:lyrics-prod t:] o.a.s.c.SolrCore CLOSING SolrCore org.apache.solr.core.SolrCore@10658351 lyrics-prod
2024-04-13 07:34:09.365 INFO  (coreCloseExecutor-30-thread-1) [c: s: r: x:lyrics-prod t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.core.lyrics-prod tag=SolrCore@10658351
