2024-04-10 07:40:55.149 INFO  (qtp1677458155-22-localhost-30) [c: s: r: x:techproducts t:localhost-30] o.a.s.c.S.Request webapp=/solr path=/replication params={wt=json&command=details&_=1712734855032} status=0 QTime=37
2024-04-10 07:40:55.148 INFO  (qtp1677458155-25-localhost-31) [c: s: r: x:techproducts t:localhost-31] o.a.s.c.S.Request webapp=/solr path=/admin/system params={wt=json&_=1712734855032} status=0 QTime=16
2024-04-10 07:41:20.358 INFO  (qtp1677458155-21-localhost-34) [c: s: r: x: t:localhost-34] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712734880203} status=0 QTime=0
2024-04-10 07:41:20.396 INFO  (qtp1677458155-24-localhost-35) [c: s: r: x: t:localhost-35] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712734880203} status=0 QTime=38
2024-04-10 07:41:20.407 INFO  (qtp1677458155-23-localhost-36) [c: s: r: x: t:localhost-36] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712734880203} status=0 QTime=2
2024-04-10 07:41:54.783 INFO  (qtp1677458155-24-localhost-40) [c: s: r: x: t:localhost-40] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712734880203} status=0 QTime=0
2024-04-10 07:41:54.806 INFO  (qtp1677458155-21-localhost-39) [c: s: r: x: t:localhost-39] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={wt=json&_=1712734880203} status=0 QTime=24
2024-04-10 07:41:54.809 INFO  (qtp1677458155-17-localhost-38) [c: s: r: x: t:localhost-38] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712734880203} status=0 QTime=27
2024-04-10 07:41:54.886 INFO  (qtp1677458155-26-localhost-42) [c: s: r: x: t:localhost-42] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={indexInfo=false&wt=json&_=1712734880203} status=0 QTime=0
2024-04-10 07:41:54.899 INFO  (qtp1677458155-23-localhost-41) [c: s: r: x: t:localhost-41] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/cores params={wt=json&_=1712734880203} status=0 QTime=14
2024-04-10 07:41:54.902 INFO  (qtp1677458155-17-localhost-43) [c: s: r: x: t:localhost-43] o.a.s.s.HttpSolrCall [admin] webapp=null path=/admin/info/system params={wt=json&_=1712734880203} status=0 QTime=7
2024-04-10 08:00:12.360 INFO  (ShutdownMonitor) [c: s: r: x: t:] o.e.j.s.Server Stopped Server@165b2f7f{STOPPING}[10.0.19,sto=0]
2024-04-10 08:00:12.375 INFO  (ShutdownMonitor) [c: s: r: x: t:] o.e.j.s.AbstractConnector Stopped ServerConnector@435871cb{HTTP/1.1, (http/1.1, h2c)}{127.0.0.1:8983}
2024-04-10 08:00:12.415 INFO  (ShutdownMonitor) [c: s: r: x: t:] o.a.s.c.CoreContainer Shutting down CoreContainer instance=1943275118
2024-04-10 08:00:12.425 INFO  (coreCloseExecutor-19-thread-1) [c: s: r: x:techproducts t:] o.a.s.c.SolrCore CLOSING SolrCore org.apache.solr.core.SolrCore@50e9c41c techproducts
2024-04-10 08:00:12.429 INFO  (coreCloseExecutor-19-thread-1) [c: s: r: x:techproducts t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.core.techproducts tag=SolrCore@50e9c41c
2024-04-10 08:00:12.510 INFO  (coreCloseExecutor-19-thread-1) [c: s: r: x:techproducts t:] o.a.s.u.DirectUpdateHandler2 Committing on IndexWriter.close()  ... SKIPPED (unnecessary).
2024-04-10 08:00:12.543 INFO  (ShutdownMonitor) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.node tag=null
2024-04-10 08:00:12.559 INFO  (ShutdownMonitor) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.jvm tag=null
2024-04-10 08:00:12.568 INFO  (ShutdownMonitor) [c: s: r: x: t:] o.a.s.m.SolrMetricManager Closing metric reporters for registry=solr.jetty tag=null
2024-04-10 08:00:12.589 INFO  (ShutdownMonitor) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Stopped o.e.j.w.WebAppContext@4263b080{solr-jetty-context.xml,/solr,file:///Users/copseatingdonuts/solr-9.5.0/server/solr-webapp/webapp/,STOPPED}{/Users/copseatingdonuts/solr-9.5.0/server/solr-webapp/webapp}
